args	labels
autonomous cars will be safer than human driven vehicles. additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles.	True
autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.	False
autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	True
driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper.	False
autonomous cars will be safer because they do not get drunk, nor do they take mind altering drugs, nor do they get tired.	True
as autonomous cars would communicate with each other, roads will be more utilized and transport more cars.	False
much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	True
development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	False
autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams.	True
a connected car extends the eyes of the driver to have a holistic view towards the destination, thus supporting and bringing safety to autonomous cars supervised by human drivers	False
with driverless cars, overall fewer people will be killed and injured in accidents than are today with human-driven cars.	True
the autonomous car is a good idea to avoid jams	False
autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	True
autonomous cars will allow drivers to use their time more productively.	False
autonomous vehicles will respect speed limits and guarantee safety in any single moment.	True
autonomous cars could be very beneficial for people with disabilities.	False
much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	True
autonomous cars are not less safer than auto-pilot in airplanes.	False
autonomous cars will bring remedy to spatial problems in cities. they will simplify car sharing such that the need for parking lots will be decreased substantially.	True
autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	False
autonomous cars will help to reduce traffic jams, accidents caused by human misjudgements and will make travelling by car more relaxing overall.	True
if autonomous cars were mandatory, they could prevent reckless driving.	False
autonomous cars will not suffer from human weaknesses such as tiredness and lack of concentration	True
more testing is needed, but autonomous cars of future would lower road rage by design. aggressive and unsafe driving is not allowed by design - just a safe drive from point a to b.	False
autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. it should also improve our quality of life as hopefully it can also alleviate congestion on highways.	True
autonomous cars are not less safer than auto-pilot in airplanes.	False
90% of traffic accidents are due (at least partially) to human error. traffic accidents are a mayor death cause. autonomous cars will make those number drop drastically.	True
development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related.	False
autonomous cars will allow humans to relax during commute, therefore, they are more fresh for work or enjoying family time.	True
the safety of autonomous cars will be less of an issue as the infrastructure and technology evolve.	False
autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	True
autonomous cars are not less safer than auto-pilot in airplanes.	False
driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.	True
autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	False
having only autonomous cars are the road will greatly improve safety and reduce the number of fatalities, taking the human element out of the equation.	True
the autonomous car is a good idea to avoid jams	False
"autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk!"	True
technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying.	False
autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential	True
development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	False
autonomous cars have already demonstrated a lower risk of accidents than human drivers in real world conditions.	True
autonomous cars will finally end our dependency on taxi drivers	False
autonomous cars will be a significant contributor to solving the issue of greenhouse gas emissions and climate change.	True
autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.	False
"an ""autonomous vehicle"" has an array of sensors and processing a computing system have capabilities beyond ones of humans. the ethical components are edge cases not caused by ai but rather humans driving causing issues"	True
autonomous cars are going to happen. the scope can be contained to limit risks to the public, but their development is going to happen for the benefit of humanity.	False
autonomous cars are safer than human drivers, they never get tired and are always alert.	True
autonomous cars will allow drivers to use their time more productively.	False
autonomous cars will be safer than human driven vehicles. additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles.	True
are you crazy? self driving cars will increase road safety if we get it right.	False
humans tend to break rules, intentionally or unintentionally. autonomous cars will stick with the rules and will perform better on the road, leading to better order and efficiencies.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.	True
thomas edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “i have not failed. i've just found 10,000 ways that won't work.”	False
autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.	True
autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. the arguable point is unexpected emergency handling which human being also have different results among different populations.	False
humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	True
drivers admitted failure to report collisions at 29%. therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.	False
autonomous cars will eliminate human errors, and reduce the accident rate significantly	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
autonomous cars will help to reduce traffic jams, accidents caused by human misjudgements and will make travelling by car more relaxing overall.	True
the use of multiple systems that increase the safety and detection of dangerous elements and conditions can increase the safety of self-driving cars, beyond the capabilities of a driver with the use of new technology.	False
autonomous vehicles will be transformative for the shipping industry and have large scale impacts on delivery costs that will benefit consumers.	True
i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	False
autonomous cars will be more efficient, thus reducing the pollution from cars	True
even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	False
if all human drivers are replaced by autonomous vehicles, there will no longer be a need for traffic lights and other traffic management systems which add significant overhead to all driving.	True
autonomous cars are much safer than those driven by humans	False
self-driving cars could greatly reduce road deaths. 1.3 million people in the us die in road crashes each year. npr reports that 94% of car crashes are caused by human error.	True
we should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.	False
autonomous cars allow us to be less distracted from the traffic and congested roads. therefore, we should promote the development of autonomous cars.	True
autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable.	False
"autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk!"	True
autonomous cars are going to affect humanity in a good way, and ibm should be a driving force in this industry	False
autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams.	True
development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related.	False
autonomous cars will eliminate human errors, and reduce the accident rate significantly	True
we should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.	False
autonomous cars will make independence possible for the elderly, and people with disabilities such as blindness.	True
it has never been possible to stop the development of high-level technologies in a free-market society. autonomous vehicle development will continue to have direct (safety, ease of use) benefits as well as indirect ones (aisystemimprovements)thatwilldrivethemarket	False
machines are just better than humans at executing algorithmic tasks, such as driving. as a consequence, autonomous cars will perform better than human drivers.	True
autonomous cars will ease people and reduce traffic	False
even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	True
with an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.	False
autonomous cars will make independence possible for the elderly, and people with disabilities such as blindness.	True
are you crazy? self driving cars will increase road safety if we get it right.	False
development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.	True
with an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.	False
self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	True
we should not stop the development of autonomous cars rather we should strive to make each and every car autonomous.	False
development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.	True
autonomous cars should not be rolled out prematurely, but development should not be stopped.	False
autonomous cars should be developed to provide immediate transportation access to people who would otherwise not have it, such as the elderly, infirm, disabled, children, etc.	True
taking power naps in autonomous cars is much better than in traditional cars - especially when you are the driver	False
of the 62 accidents in california involving self-driving cars in autonomous mode over the last four years, the autonomous vehicle was only responsible in one case.	True
it has never been possible to stop the development of high-level technologies in a free-market society. autonomous vehicle development will continue to have direct (safety, ease of use) benefits as well as indirect ones (aisystemimprovements)thatwilldrivethemarket	False
development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	True
as long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining new skills beyond just driving.	False
autonomous cars should be developed because they're going to be much safer than human drivers: they don't drink, they don't smoke, they don't sleep, they aren't distracted.	True
development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	False
autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	True
autonomous cars can reduce the traffic because multiple people can share one car	False
autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	True
much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	False
even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	True
because human drivers make mistakes too, autonomous driving by ai will eventually become better than human drivers.	False
humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	True
self driving cars will remove the burden of driving from people.	False
communication between autonomous cars will reduce the number of traffic accidents.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
if developed safely and with enough care, as is currently one with many car features today, autonomous cars can provide great benefits to society, industries and transportation.	True
with an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.	False
driving is, by far, the most dangerous activity a human will do in their lifetime. autonomous cars can provide a safe mode of transportation and save the lives of motorists.	True
if autonomous cars were mandatory, they could prevent reckless driving.	False
development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	True
autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.	False
autonomous cars should be developed because they're going to be much safer than human drivers: they don't drink, they don't smoke, they don't sleep, they aren't distracted.	True
a large part of the inefficiencies of vehicles is due to air resistance, a convoy of autonomous cars or trucks can drive closer and be much more efficient.	False
inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.	True
autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	False
autonomous cars should be developed to provide immediate transportation access to people who would otherwise not have it, such as the elderly, infirm, disabled, children, etc.	True
if all human drivers are replaced by autonomous vehicles, there will no longer be a need for traffic lights and other traffic management systems which add significant overhead to all driving.	False
communication between autonomous cars will reduce the number of traffic accidents.	True
autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential	False
autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. the arguable point is unexpected emergency handling which human being also have different results among different populations.	True
autonomous cars should not be rolled out prematurely, but development should not be stopped.	False
autonomous cars will drastically reduce number of accidents.	True
technological progress is inevitable. we need ambitious goals, like developing autonomous cars, to inspire young people to pursue careers in technology so that our rate of progress can continue.	False
if autonomous vehicles can reduce accident rates in a statistically significant way, then we need to continue developing them as human error and poor decision-making accounts for countless accidents and innocent deaths.	True
we should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.	False
if developed safely and with enough care, as is currently one with many car features today, autonomous cars can provide great benefits to society, industries and transportation.	True
of the 62 accidents in california involving self-driving cars in autonomous mode over the last four years, the autonomous vehicle was only responsible in one case.	False
autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.	True
those who support stopping the development of autonomous cars are fearful of the unknown; instead of stopping it, they should figure out what they're afraid of, and regulate the development to minimize that.	False
autonomous cars will reduce pollution, reduce congestion and provide better value for money and transportation.	True
early teething problems cannot be a reason to judge a technology's potential. we should accelerate development of autonomous cars so fewer humans are on the road to cause accidents	False
autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	True
although it will take years until autonomous cars, we still need to invest now to be prepared for the future.	False
with driverless cars, overall fewer people will be killed and injured in accidents than are today with human-driven cars.	True
autonomous vehicles will be transformative for the shipping industry and have large scale impacts on delivery costs that will benefit consumers.	False
the use of multiple systems that increase the safety and detection of dangerous elements and conditions can increase the safety of self-driving cars, beyond the capabilities of a driver with the use of new technology.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
humans have sensory organs like eyes and ears in fixed locations, leading to blind spots, but an autonomous car can have 360-degree visibility.	True
autonomous cars will finally end our dependency on taxi drivers	False
autonomous cars are safer than human drivers, they never get tired and are always alert.	True
autonomous cars can reduce the traffic because multiple people can share one car	False
autonomous cars will reduce pollution, reduce congestion and provide better value for money and transportation.	True
those who support stopping the development of autonomous cars are fearful of the unknown; instead of stopping it, they should figure out what they're afraid of, and regulate the development to minimize that.	False
autonomous cars will drastically reduce number of accidents.	True
i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	False
of the 62 accidents in california involving self-driving cars in autonomous mode over the last four years, the autonomous vehicle was only responsible in one case.	True
if autonomous cars were mandatory, they could prevent reckless driving.	False
autonomous cars will result in less road traffic since they can coordinate with each other.	True
we should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.	False
autonomous vehicles for shipping can provide real-time shipment tracking safely as there is no driver privacy involved, nor is there information about a vehicle at rest (when it is most prone to content theft).	True
a connected car extends the eyes of the driver to have a holistic view towards the destination, thus supporting and bringing safety to autonomous cars supervised by human drivers	False
machines are just better than humans at executing algorithmic tasks, such as driving. as a consequence, autonomous cars will perform better than human drivers.	True
there is no reason to stop the development of autonomous cars; this can only benefit the human race by enabling more transportation options for the elderly, kids, etc.	False
autonomous cars are much safer than human drivers in some situations	True
autonomous driving is at the beginning of its development and we should not stop it to learn more about pro and con of this technology.	False
autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.	True
autonomous cars will never make accident because of being tired or drunk	False
the news is full of stories in which poor driver decisions, drivers falling asleep, etc. cause the loss of many human lives, and this can be addressed by autonomous cars.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
autonomous cars are much safer than human drivers in some situations	True
it has never been possible to stop the development of high-level technologies in a free-market society. autonomous vehicle development will continue to have direct (safety, ease of use) benefits as well as indirect ones (aisystemimprovements)thatwilldrivethemarket	False
autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	True
the autonomous car is a good idea to avoid jams	False
with driverless cars, overall fewer people will be killed and injured in accidents than are today with human-driven cars.	True
autonomous cars will give people who are blind a great expansion in independence and quality of life.	False
if autonomous cars were mandatory, they could prevent reckless driving.	True
those who support stopping the development of autonomous cars are fearful of the unknown; instead of stopping it, they should figure out what they're afraid of, and regulate the development to minimize that.	False
having only autonomous cars are the road will greatly improve safety and reduce the number of fatalities, taking the human element out of the equation.	True
humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.	False
autonomous cars will allow drivers to use their time more productively.	True
autonomous cars will never make accident because of being tired or drunk	False
"autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk!"	True
thomas edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “i have not failed. i've just found 10,000 ways that won't work.”	False
autonomous cars are much safer than those driven by humans	True
autonomous vehicle systems such as automatic emergency braking and lane keep assist have already made driving much safer. it would thus be irrational to stop development of them.	False
autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	True
if we were to stop the development of autonomous cars, we would eliminate an avenue for potentially ending automotive homicide as we currently know it.	False
humans tend to break rules, intentionally or unintentionally. autonomous cars will stick with the rules and will perform better on the road, leading to better order and efficiencies.	True
autonomous cars will finally end our dependency on taxi drivers	False
autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.	True
eventually autonomous cars will be the safest cars on the road, saving lives and reducing traffic congestion.	False
autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.	True
driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.	False
autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. it should also improve our quality of life as hopefully it can also alleviate congestion on highways.	True
because human drivers make mistakes too, autonomous driving by ai will eventually become better than human drivers.	False
more testing is needed, but autonomous cars of future would not be distracted by a phone, take us to our destination when we are tired, sick, under an influence or are just a bad driver.	True
there is no reason to stop the development of autonomous cars; this can only benefit the human race by enabling more transportation options for the elderly, kids, etc.	False
autonomous vehicles will be transformative for the shipping industry and have large scale impacts on delivery costs that will benefit consumers.	True
more testing is needed, but autonomous cars of future would not be distracted by a phone, take us to our destination when we are tired, sick, under an influence or are just a bad driver.	False
communication between autonomous cars will reduce the number of traffic accidents.	True
autonomous vehicles will be safer especially trucks. people who say trucking is the most popular job in america are wrong and only a relatively few people will lose jobs. see https://www.marketwatch.com/story/no-truck-driver-isnt-the-most-common-job-in-your-state-2015-02-12	False
autonomous cars will be more efficient, thus reducing the pollution from cars	True
those who support stopping the development of autonomous cars are fearful of the unknown; instead of stopping it, they should figure out what they're afraid of, and regulate the development to minimize that.	False
as featured in ieee spectrum (october 2018), communication between autonomous cars may significantly reduce urban driving times by allowing more efficient flow of traffic through intersections.	True
autonomous cars should not be rolled out prematurely, but development should not be stopped.	False
having only autonomous cars are the road will greatly improve safety and reduce the number of fatalities, taking the human element out of the equation.	True
"an ""autonomous vehicle"" has an array of sensors and processing a computing system have capabilities beyond ones of humans. the ethical components are edge cases not caused by ai but rather humans driving causing issues"	False
there are no opportunities for a autonomous car to be distracted, which is a leading cause of accidents in the united states at present.	True
development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	False
autonomous vehicles can be designed to know their own limitations, whereas a study from nyu found that most human drivers rate their driving skills as above average.	True
early teething problems cannot be a reason to judge a technology's potential. we should accelerate development of autonomous cars so fewer humans are on the road to cause accidents	False
if autonomous cars were mandatory, they could prevent reckless driving.	True
i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	False
although autonomous cars are still not perfect, they are safer than human-driven cars.	True
we should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.	False
fully autonomous vehicles can revolutionize individual travel for long distance journeys, providing the once-heralded ease of train travel to individual users traveling on arbitrary routes.	True
autonomous cars will bring remedy to spatial problems in cities. they will simplify car sharing such that the need for parking lots will be decreased substantially.	False
autonomous cars allow us to be less distracted from the traffic and congested roads. therefore, we should promote the development of autonomous cars.	True
if we were to stop the development of autonomous cars, we would eliminate an avenue for potentially ending automotive homicide as we currently know it.	False
fully autonomous vehicle capability may reduce the incidence of impaired driving by allowing vehicle owners/operators the ability to enjoy adult beverages safely while traveling in their own vehicle if society adapts laws accordingly.	True
autonomous cars are going to happen. the scope can be contained to limit risks to the public, but their development is going to happen for the benefit of humanity.	False
90% of traffic accidents are due (at least partially) to human error. traffic accidents are a mayor death cause. autonomous cars will make those number drop drastically.	True
development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	False
development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	True
autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. the arguable point is unexpected emergency handling which human being also have different results among different populations.	False
the technology behind autonomous cars will also facilitate better public transit, through better buses, shared taxis, and routes that can change to adapt to demand, which will reduce the number of single-person car trips.	True
autonomous cars will give people who are blind a great expansion in independence and quality of life.	False
autonomous cars will make independence possible for the elderly, and people with disabilities such as blindness.	True
autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential	False
autonomous cars allow us to be less distracted from the traffic and congested roads. therefore, we should promote the development of autonomous cars.	True
autonomous cars are going to affect humanity in a good way, and ibm should be a driving force in this industry	False
autonomous cars will eliminate human errors, and reduce the accident rate significantly	True
autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable.	False
90% of traffic accidents are due (at least partially) to human error. traffic accidents are a mayor death cause. autonomous cars will make those number drop drastically.	True
autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.	False
self-driving cars can have their ai technology used as in assistive mode until it proves it can outpace the safety provided by human drivers, assisting and taking over in case of emergency situations.	True
technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying.	False
if all cars were autonomous vehicles, traffic would flow more smoothly more of the time.	True
because human drivers make mistakes too, autonomous driving by ai will eventually become better than human drivers.	False
autonomous vehicles would increase mobility and independence for aging people who can no longer drive themselves.	True
autonomous cars should not be rolled out prematurely, but development should not be stopped.	False
"an ""autonomous vehicle"" has an array of sensors and processing a computing system have capabilities beyond ones of humans. the ethical components are edge cases not caused by ai but rather humans driving causing issues"	True
autonomous driving is at the beginning of its development and we should not stop it to learn more about pro and con of this technology.	False
autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	True
although autonomous cars are still not perfect, they are safer than human-driven cars.	False
autonomous cars have already demonstrated a lower risk of accidents than human drivers in real world conditions.	True
self driving cars will remove the burden of driving from people.	False
autonomous cars will drive much smoother and therefor produce less pollution	True
thomas edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “i have not failed. i've just found 10,000 ways that won't work.”	False
autonomous cars will reduce number of accidents since most accidents are due to a human error.	True
autonomous cars will finally end our dependency on taxi drivers	False
autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.	True
humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	False
driving is, by far, the most dangerous activity a human will do in their lifetime. autonomous cars can provide a safe mode of transportation and save the lives of motorists.	True
development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	False
autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	True
technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying.	False
autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.	True
it has never been possible to stop the development of high-level technologies in a free-market society. autonomous vehicle development will continue to have direct (safety, ease of use) benefits as well as indirect ones (aisystemimprovements)thatwilldrivethemarket	False
autonomous cars will reduce pollution and help fight global warming	True
we should not stop the development of autonomous cars because the underlying technology is advancing rapidly. although it is too early for broad adoption, continued research and development could make it reliable.	False
"autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk!"	True
lets face it, the machines are better at dealing with other machines, and machines dealing with cars are a lot better than people dealing with cars, so we need self-driving car.	False
autonomous cars will make roads safer because the cars will drive slower to precisely follow all traffic rules.	True
autonomous cars will ease people and reduce traffic	False
autonomous cars will reduce pollution, reduce congestion and provide better value for money and transportation.	True
the technology behind autonomous cars will also facilitate better public transit, through better buses, shared taxis, and routes that can change to adapt to demand, which will reduce the number of single-person car trips.	False
self driving cars will remove the burden of driving from people.	True
self driving cars will remove the burden of driving from people.	False
self-driving cars would be safer because they remove the human element, which is prone to make mistakes caused by distractions and just plain laziness.	True
development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.	False
self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	True
autonomous cars reduce the need of parking spaces, making cities more beautiful	False
because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the united states alone each year.	True
autonomous cars will finally end our dependency on taxi drivers	False
autonomous cars will be a significant contributor to solving the issue of greenhouse gas emissions and climate change.	True
the autonomous cars will reduce the traffic with their efficiency.	False
self-driving cars could greatly reduce road deaths. 1.3 million people in the us die in road crashes each year. npr reports that 94% of car crashes are caused by human error.	True
